,news,category,title,summary,link,date,time,datetime,ID
0,"Meghan's father Thomas Markle 'would testify in Mail on Sunday case'. The Duchess of Sussex's half sister tells the BBC ""if he is called, he will come"" to give evidence.",BBC News - Home,Meghan's father Thomas Markle 'would testify in Mail on Sunday case',"The Duchess of Sussex's half sister tells the BBC ""if he is called, he will come"" to give evidence.",https://www.bbc.co.uk/news/uk-51109538,"(2020, 1, 15)","(19, 2, 51)","Wed, 15 Jan 2020 19:02:51 GMT",c616635b80f73cec97f426f283dcbd06
1,Climate change: Last decade confirmed as warmest on record. Global data from three agencies also shows that 2019 was the second warmest year since 1850.,BBC News - Home,Climate change: Last decade confirmed as warmest on record,Global data from three agencies also shows that 2019 was the second warmest year since 1850.,https://www.bbc.co.uk/news/science-environment-51111176,"(2020, 1, 15)","(16, 3, 43)","Wed, 15 Jan 2020 16:03:43 GMT",489951d872685806ea8e948a43a0c360
2,Russian government resigns as Vladimir Putin plans future. The surprise move came after President Vladimir Putin announced plans to change the constitution.,BBC News - Home,Russian government resigns as Vladimir Putin plans future,The surprise move came after President Vladimir Putin announced plans to change the constitution.,https://www.bbc.co.uk/news/world-europe-51120166,"(2020, 1, 15)","(18, 8, 6)","Wed, 15 Jan 2020 18:08:06 GMT",818647918ba8d9886bcd7905dc8a4577
3,Trump impeachment: House sends historic case to Senate. Donald Trump will become only the third US president to face trial in the US upper chamber.,BBC News - Home,Trump impeachment: House sends historic case to Senate,Donald Trump will become only the third US president to face trial in the US upper chamber.,https://www.bbc.co.uk/news/world-us-canada-51126431,"(2020, 1, 15)","(20, 18, 9)","Wed, 15 Jan 2020 20:18:09 GMT",bb20420ad5d0cdf1f9bcdfd0de0c6a3a
4,PC Sharon Beshenivsky murder: Man arrested in Pakistan. PC Sharon Beshenivsky was shot dead while responding to reports of a robbery in Bradford in 2005.,BBC News - Home,PC Sharon Beshenivsky murder: Man arrested in Pakistan,PC Sharon Beshenivsky was shot dead while responding to reports of a robbery in Bradford in 2005.,https://www.bbc.co.uk/news/uk-england-leeds-51122886,"(2020, 1, 15)","(18, 47, 0)","Wed, 15 Jan 2020 18:47:00 GMT",4421e89c68ef3e52756d7d4fc7090b2b
45,Russian government resigns as Vladimir Putin plans future. The surprise move came after President Vladimir Putin announced plans to change the constitution.,BBC News - World,Russian government resigns as Vladimir Putin plans future,The surprise move came after President Vladimir Putin announced plans to change the constitution.,https://www.bbc.co.uk/news/world-europe-51120166,"(2020, 1, 15)","(18, 8, 6)","Wed, 15 Jan 2020 18:08:06 GMT",818647918ba8d9886bcd7905dc8a4577
46,"US and China sign deal to ease trade war. Mr Trump has hailed the deal as a ""transformative"", but the majority of tariffs will remain in place.",BBC News - World,US and China sign deal to ease trade war,"Mr Trump has hailed the deal as a ""transformative"", but the majority of tariffs will remain in place.",https://www.bbc.co.uk/news/business-51114425,"(2020, 1, 15)","(19, 24, 38)","Wed, 15 Jan 2020 19:24:38 GMT",6d65f0d25b0b84c69f1ba938d1551896
47,Trump impeachment: House sends historic case to Senate. Donald Trump will become only the third US president to face trial in the US upper chamber.,BBC News - World,Trump impeachment: House sends historic case to Senate,Donald Trump will become only the third US president to face trial in the US upper chamber.,https://www.bbc.co.uk/news/world-us-canada-51126431,"(2020, 1, 15)","(20, 18, 9)","Wed, 15 Jan 2020 20:18:09 GMT",bb20420ad5d0cdf1f9bcdfd0de0c6a3a
48,Climate change: Last decade confirmed as warmest on record. Global data from three agencies also shows that 2019 was the second warmest year since 1850.,BBC News - World,Climate change: Last decade confirmed as warmest on record,Global data from three agencies also shows that 2019 was the second warmest year since 1850.,https://www.bbc.co.uk/news/science-environment-51111176,"(2020, 1, 15)","(16, 3, 43)","Wed, 15 Jan 2020 16:03:43 GMT",489951d872685806ea8e948a43a0c360
49,Epstein 'abuse' revealed in Virgin Islands lawsuit. The case filed in the US Virgin Islands says the late financier molested girls as young as 12.,BBC News - World,Epstein 'abuse' revealed in Virgin Islands lawsuit,The case filed in the US Virgin Islands says the late financier molested girls as young as 12.,https://www.bbc.co.uk/news/world-us-canada-51128037,"(2020, 1, 15)","(20, 28, 3)","Wed, 15 Jan 2020 20:28:03 GMT",3b98815d58af6dae0d8d2ab04dddfc5c
73,"Meghan's father Thomas Markle 'would testify in Mail on Sunday case'. The Duchess of Sussex's half sister tells the BBC ""if he is called, he will come"" to give evidence.",BBC News - UK,Meghan's father Thomas Markle 'would testify in Mail on Sunday case',"The Duchess of Sussex's half sister tells the BBC ""if he is called, he will come"" to give evidence.",https://www.bbc.co.uk/news/uk-51109538,"(2020, 1, 15)","(19, 2, 51)","Wed, 15 Jan 2020 19:02:51 GMT",c616635b80f73cec97f426f283dcbd06
74,Climate change: Last decade confirmed as warmest on record. Global data from three agencies also shows that 2019 was the second warmest year since 1850.,BBC News - UK,Climate change: Last decade confirmed as warmest on record,Global data from three agencies also shows that 2019 was the second warmest year since 1850.,https://www.bbc.co.uk/news/science-environment-51111176,"(2020, 1, 15)","(16, 3, 43)","Wed, 15 Jan 2020 16:03:43 GMT",489951d872685806ea8e948a43a0c360
75,Flybe: Airline and rail rivals attack government rescue. British Airways' owner IAG files a complaint to the EU arguing Flybe's rescue breaks state aid rules.,BBC News - UK,Flybe: Airline and rail rivals attack government rescue,British Airways' owner IAG files a complaint to the EU arguing Flybe's rescue breaks state aid rules.,https://www.bbc.co.uk/news/business-51117885,"(2020, 1, 15)","(17, 18, 37)","Wed, 15 Jan 2020 17:18:37 GMT",c28ff58dd92b7523163473419d400bad
