is_interesting;Spalte1;news;category;title;summary;link;date;time;datetime;ID;;;
x;0;Iran plane crash: Khamenei defends military in rare address. Ayatollah Khamenei praises the Revolutionary Guard amid anger over the downing of a passenger jet.;BBC News - Home;Iran plane crash: Khamenei defends military in rare address;Ayatollah Khamenei praises the Revolutionary Guard amid anger over the downing of a passenger jet.;https://www.bbc.co.uk/news/world-middle-east-51140806;(2020, 1, 17);(11, 17, 33);Fri, 17 Jan 2020 11:17:33 GMT;abbb95d0f895f174374650f6ee6f4442;;;
x;1;Social media data needed for 'harm' research, say doctors. Understanding usage by children is key to studying potential harms and benefits, psychiatrists say.;BBC News - Home;Social media data needed for 'harm' research, say doctors;Understanding usage by children is key to studying potential harms and benefits, psychiatrists say.;https://www.bbc.co.uk/news/health-51134545;(2020, 1, 17);(11, 35, 18);Fri, 17 Jan 2020 11:35:18 GMT;90ff1928e913774b4dddc8d46647b460;;;
;2;Climate change: Can Glasgow go carbon neutral?. As more cities declare climate emergencies, we look at how Glasgow aims to cancel out its carbon footprint.;BBC News - Home;Climate change: Can Glasgow go carbon neutral?;As more cities declare climate emergencies, we look at how Glasgow aims to cancel out its carbon footprint.;https://www.bbc.co.uk/news/science-environment-51141619;(2020, 1, 17);(0, 59, 43);Fri, 17 Jan 2020 00:59:43 GMT;06113c818fdff9e1076d7ce19c60709a;;;
;3;Apple may have to abandon Lightning connector cable. European Parliament members want all tech giants to adopt a single universal charging method.;BBC News - Home;Apple may have to abandon Lightning connector cable;European Parliament members want all tech giants to adopt a single universal charging method.;https://www.bbc.co.uk/news/technology-51137069;(2020, 1, 17);(2, 53, 4);Fri, 17 Jan 2020 02:53:04 GMT;284790ed5f34f9b173c4fa1213e2bfb0;;;
;4;"Eminem criticised for lyric about bomb at Ariana Grande gig. ""What you said was hurtful to so many people,"" fans tell the rapper after hearing his latest lyrics.";BBC News - Home;Eminem criticised for lyric about bomb at Ariana Grande gig;"""What you said was hurtful to so many people,"" fans tell the rapper after hearing his latest lyrics.";https://www.bbc.co.uk/news/entertainment-arts-51147007;(2020, 1, 17);(10, 18, 56);Fri, 17 Jan 2020 10:18:56 GMT;04d12cab919215b69fd97f80d2225fb2;;;
;5;Retail sales fall sharply in December. A fifth straight month without growth adds to pressure on the Bank of England to cut interest rates.;BBC News - Home;Retail sales fall sharply in December;A fifth straight month without growth adds to pressure on the Bank of England to cut interest rates.;https://www.bbc.co.uk/news/business-51147634;(2020, 1, 17);(11, 39, 0);Fri, 17 Jan 2020 11:39:00 GMT;6955475e75b617434a863e857a6c4f33;;;
;6;Brexit: There will be no automatic deportation for EU citizens - Verhofstadt. The European Parliament's Brexit co-ordinator says he has received assurances from the UK government.;BBC News - Home;Brexit: There will be no automatic deportation for EU citizens - Verhofstadt;The European Parliament's Brexit co-ordinator says he has received assurances from the UK government.;https://www.bbc.co.uk/news/uk-politics-51146992;(2020, 1, 17);(10, 20, 51);Fri, 17 Jan 2020 10:20:51 GMT;7a0c478eb53827484f5398e1cf267515;;;
;7;"Chinese student Wu Huayan died 'after donations withheld'. More than a million yuan ($144,000; £111,000) was raised for Wu Huyan - but she only saw a fraction.";BBC News - Home;Chinese student Wu Huayan died 'after donations withheld';"More than a million yuan ($144,000; £111,000) was raised for Wu Huyan - but she only saw a fraction.";https://www.bbc.co.uk/news/world-asia-china-51131296;(2020, 1, 17);(0, 14, 38);Fri, 17 Jan 2020 00:14:38 GMT;907fcaef9da019ec3d05b626b04789a6;;;
x;8;Australia droughts: ‘Wall of dust’ envelops town. A dust cloud sweeps across a New South Wales town, turning it red in seconds.;BBC News - Home;Australia droughts: ‘Wall of dust’ envelops town;A dust cloud sweeps across a New South Wales town, turning it red in seconds.;https://www.bbc.co.uk/news/world-australia-51146501;(2020, 1, 17);(7, 9, 50);Fri, 17 Jan 2020 07:09:50 GMT;49dd4b2d44f037f4bad0b59e1d93a8fb;;;
;9;Edinburgh brothers set rowing world records in the Atlantic. The MacLean brothers from Edinburgh crossed the ocean in 35 days, setting three world records.;BBC News - Home;Edinburgh brothers set rowing world records in the Atlantic;The MacLean brothers from Edinburgh crossed the ocean in 35 days, setting three world records.;https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-51148801;(2020, 1, 17);(10, 44, 7);Fri, 17 Jan 2020 10:44:07 GMT;ed0135dd9715e436df2343beae522606;;;
;10;Derek Fowlds: Yes Minister and Heartbeat actor dies aged 82. The actor played Bernard in Yes Minister and was in the entire series of Heartbeat.;BBC News - Home;Derek Fowlds: Yes Minister and Heartbeat actor dies aged 82;The actor played Bernard in Yes Minister and was in the entire series of Heartbeat.;https://www.bbc.co.uk/news/entertainment-arts-51147182;(2020, 1, 17);(11, 59, 4);Fri, 17 Jan 2020 11:59:04 GMT;6384921e46f12a12778f9baf3f231671;;;
;11;"Loose horse rescued from Cardiff road and put on bus. A woman who helped stop traffic and calmed the horse said it was ""shaken up"".";BBC News - Home;Loose horse rescued from Cardiff road and put on bus;"A woman who helped stop traffic and calmed the horse said it was ""shaken up"".";https://www.bbc.co.uk/news/uk-wales-51146051;(2020, 1, 17);(11, 5, 50);Fri, 17 Jan 2020 11:05:50 GMT;b94c7955a420f714a6fb1827a36f3d26;;;
;12;Actor Laurence Fox's Question Time clash over Meghan. The Lewis actor clashed with an audience member over whether press coverage was racist.;BBC News - Home;Actor Laurence Fox's Question Time clash over Meghan;The Lewis actor clashed with an audience member over whether press coverage was racist.;https://www.bbc.co.uk/news/uk-51145321;(2020, 1, 17);(4, 21, 58);Fri, 17 Jan 2020 04:21:58 GMT;0d82e6e773fa57f76d2ee7fda98ba880;;;
;13;‘Submitting to my husband like it's 1959': Why I became a #TradWife. Alena is a #tradwife and she's not alone;BBC News - Home;‘Submitting to my husband like it's 1959': Why I became a #TradWife;Alena is a #tradwife and she's not alone;https://www.bbc.co.uk/news/stories-51113371;(2020, 1, 17);(2, 50, 49);Fri, 17 Jan 2020 02:50:49 GMT;2b240f1420f00bfd8993784c112c6880;;;
;14;Collector pays UK-record £1m for rare coin. Only six Edward VIII sovereigns were made but it is not just its rarity that fascinates historians.;BBC News - Home;Collector pays UK-record £1m for rare coin;Only six Edward VIII sovereigns were made but it is not just its rarity that fascinates historians.;https://www.bbc.co.uk/news/business-51134884;(2020, 1, 17);(8, 2, 28);Fri, 17 Jan 2020 08:02:28 GMT;1d08b3240e06a5d1947ca57322f8bd8a;;;
;15;What it means to be mixed race in the US. The number of multi-racial people in the US is on the rise. But the experience comes with struggles.;BBC News - Home;What it means to be mixed race in the US;The number of multi-racial people in the US is on the rise. But the experience comes with struggles.;https://www.bbc.co.uk/news/world-us-canada-51126871;(2020, 1, 16);(22, 49, 27);Thu, 16 Jan 2020 22:49:27 GMT;4d6edd3698341dffaf2c84790f0bf37f;;;
;16;"The Papers: Harry's 'farewell' and social media firm 'payback'. The front pages question whether Prince Harry has had his ""swan song"" before he and Meghan ""step back"".";BBC News - Home;The Papers: Harry's 'farewell' and social media firm 'payback';"The front pages question whether Prince Harry has had his ""swan song"" before he and Meghan ""step back"".";https://www.bbc.co.uk/news/blogs-the-papers-51144299;(2020, 1, 17);(6, 20, 26);Fri, 17 Jan 2020 06:20:26 GMT;da8a1b9ab4589e99872e44d4d3d5557c;;;
;17;Mistaken identity: 'You called the wrong Robert Shapiro...'. Presenter Evan Davis said it was the worst mistake since he joined Radio 4's PM programme.;BBC News - Home;Mistaken identity: 'You called the wrong Robert Shapiro...';Presenter Evan Davis said it was the worst mistake since he joined Radio 4's PM programme.;https://www.bbc.co.uk/news/uk-51142491;(2020, 1, 16);(21, 25, 52);Thu, 16 Jan 2020 21:25:52 GMT;33c983b14bd79e113680dbdda08e0512;;;
;18;Quiz of the week: On Trump, Russia and the new Bond theme. Have you been paying attention to what's been going on during the past seven days?;BBC News - Home;Quiz of the week: On Trump, Russia and the new Bond theme;Have you been paying attention to what's been going on during the past seven days?;https://www.bbc.co.uk/news/world-51124488;(2020, 1, 17);(0, 3, 51);Fri, 17 Jan 2020 00:03:51 GMT;2d9b7fba89d268e02895ab2ed3d33fc1;;;
