is_interesting;Spalte1;news;category;title;summary;link;date;time;datetime;ID
x;0;Iran plane crash: Khamenei defends armed forces in rare address. Ayatollah Khamenei praises the Revolutionary Guard amid anger over the downing of a passenger jet.;BBC News - Home;Iran plane crash: Khamenei defends armed forces in rare address;Ayatollah Khamenei praises the Revolutionary Guard amid anger over the downing of a passenger jet.;https://www.bbc.co.uk/news/world-middle-east-51140806;(2020, 1, 17);(17, 8, 26);Fri, 17 Jan 2020 17:08:26 GMT;1069c5f5eb0ee014a24da536b5128dab
;1;Conner Marshall inquest: Killer's probation worker was 'overwhelmed'. Conner Marshall was killed in an unprovoked attack by David Braddon, who was on probation.;BBC News - Home;Conner Marshall inquest: Killer's probation worker was 'overwhelmed';Conner Marshall was killed in an unprovoked attack by David Braddon, who was on probation.;https://www.bbc.co.uk/news/uk-wales-51149311;(2020, 1, 17);(18, 42, 42);Fri, 17 Jan 2020 18:42:42 GMT;e40efa0d691ceaccf6bdb8040cf8d1a6
x;2;"Labour leadership: Rebecca Long-Bailey pledges to return power to voters. The Labour MP sets out her pitch for Labour leadership, promising a ""shake up"" of government if elected.";BBC News - Home;Labour leadership: Rebecca Long-Bailey pledges to return power to voters;"The Labour MP sets out her pitch for Labour leadership, promising a ""shake up"" of government if elected.";https://www.bbc.co.uk/news/uk-politics-51146991;(2020, 1, 17);(20, 49, 16);Fri, 17 Jan 2020 20:49:16 GMT;64de1a078724fb2c29609ad137bbd69a
x;3;Clinton prosecutor Ken Starr to defend Trump. Former special prosecutors from Bill Clinton's impeachment trial are on the president's team.;BBC News - Home;Clinton prosecutor Ken Starr to defend Trump;Former special prosecutors from Bill Clinton's impeachment trial are on the president's team.;https://www.bbc.co.uk/news/world-us-canada-51154812;(2020, 1, 17);(17, 28, 57);Fri, 17 Jan 2020 17:28:57 GMT;4b2829961e5e087a331cabe64b46631d
;4;Owen Jones: Journalist attacked because of sexuality and political views. A judge rules Guardian columnist Owen Jones was targeted due to his sexuality and political views.;BBC News - Home;Owen Jones: Journalist attacked because of sexuality and political views;A judge rules Guardian columnist Owen Jones was targeted due to his sexuality and political views.;https://www.bbc.co.uk/news/uk-england-london-51150517;(2020, 1, 17);(19, 52, 56);Fri, 17 Jan 2020 19:52:56 GMT;478cd1ffb4f767b6f98380225d333842
x;5;Portrait of a Lady: Painting found in wall confirmed as stolen Klimt. Portrait of a Lady was missing for 22 years until gardeners cleared ivy from a gallery wall.;BBC News - Home;Portrait of a Lady: Painting found in wall confirmed as stolen Klimt;Portrait of a Lady was missing for 22 years until gardeners cleared ivy from a gallery wall.;https://www.bbc.co.uk/news/world-europe-51156682;(2020, 1, 17);(19, 51, 1);Fri, 17 Jan 2020 19:51:01 GMT;f58971b71f27d6f94a9108efdc77f83f
;6;Harvey Weinstein case: Jury picked for New York rape trial. After two weeks, lawyers finally choose the 12 jurors for the trial from about 700 candidates.;BBC News - Home;Harvey Weinstein case: Jury picked for New York rape trial;After two weeks, lawyers finally choose the 12 jurors for the trial from about 700 candidates.;https://www.bbc.co.uk/news/world-us-canada-51156756;(2020, 1, 17);(20, 36, 27);Fri, 17 Jan 2020 20:36:27 GMT;cbe009522c9169f797c3bd8910d67b70
x;7;Brazil's culture minister fired after echoing Goebbels. Roberto Alvim used parts of a speech by Nazi Germany's propaganda chief, sparking outrage.;BBC News - Home;Brazil's culture minister fired after echoing Goebbels;Roberto Alvim used parts of a speech by Nazi Germany's propaganda chief, sparking outrage.;https://www.bbc.co.uk/news/world-latin-america-51149224;(2020, 1, 17);(17, 11, 42);Fri, 17 Jan 2020 17:11:42 GMT;ab55d3d13990f2ae1ebe8aaca65f72a7
;8;"Boy who appeared on Supernanny detained for rape. Jacob Young's mother wrote to the judge saying the 2005 show led to a ""campaign of abuse and mockery"".";BBC News - Home;Boy who appeared on Supernanny detained for rape;"Jacob Young's mother wrote to the judge saying the 2005 show led to a ""campaign of abuse and mockery"".";https://www.bbc.co.uk/news/uk-england-suffolk-51150011;(2020, 1, 17);(16, 37, 18);Fri, 17 Jan 2020 16:37:18 GMT;1cb4bff74c6ab0d80c4f83f18705bdb4
;9;"COP26: Climate summit policing will cost more than £200m. Scotland's police chief says officers' accommodation alone for COP26 will cost ""tens of millions of pounds"".";BBC News - Home;COP26: Climate summit policing will cost more than £200m;"Scotland's police chief says officers' accommodation alone for COP26 will cost ""tens of millions of pounds"".";https://www.bbc.co.uk/news/uk-scotland-51149272;(2020, 1, 17);(15, 14, 38);Fri, 17 Jan 2020 15:14:38 GMT;a0588090bfc0ee8b1b13439ec93d44d9
