,news,category,title,summary,link,date,time,datetime,ID,label
25,Schools warned against 'gaming' exam league tables. Ofsted says schools must not inflate results with low-value qualifications.,['BBC News - Family & Education'],Schools warned against 'gaming' exam league tables,Ofsted says schools must not inflate results with low-value qualifications.,https://www.bbc.co.uk/news/education-51194249,"(2020, 1, 21)","(14, 49, 22)","Tue, 21 Jan 2020 14:49:22 GMT",16d58244ef68cd65d8bbe4d78e1e9b6f,10
46,Australia fires: 'Apocalypse' comes to Kangaroo Island. Australia's Kangaroo Island has been likened to Noah's Ark - but its unique wildlife is under threat.,['BBC News - Science & Environment'],Australia fires: 'Apocalypse' comes to Kangaroo Island,Australia's Kangaroo Island has been likened to Noah's Ark - but its unique wildlife is under threat.,https://www.bbc.co.uk/news/world-australia-51102658,"(2020, 1, 17)","(5, 46, 46)","Fri, 17 Jan 2020 05:46:46 GMT",2d40bc7366dba1915cc4aeae9cd1b37c,8
102,"People urgently fleeing climate crisis cannot be sent home, UN rules. But it rejects a claim by a man whose Pacific Island nation is threatened by rising sea levels.",['BBC News - Science & Environment'],"People urgently fleeing climate crisis cannot be sent home, UN rules",But it rejects a claim by a man whose Pacific Island nation is threatened by rising sea levels.,https://www.bbc.co.uk/news/world-asia-51179931,"(2020, 1, 20)","(15, 3, 28)","Mon, 20 Jan 2020 15:03:28 GMT",68d122bcf1d9611e94a53a4dcd5582c2,8
111,"People still want plastic bottles, says Coca-Cola. The drinks giant says it will not ditch plastic outright but will try to recycle more.","['BBC News - World', 'BBC News - Business']","People still want plastic bottles, says Coca-Cola",The drinks giant says it will not ditch plastic outright but will try to recycle more.,https://www.bbc.co.uk/news/business-51197463,"(2020, 1, 21)","(22, 12, 59)","Tue, 21 Jan 2020 22:12:59 GMT",73a83e9bcaa08c9d6231cb47d5081bbf,2
128,Should schools be allowed to ban slang words like 'peng'?. Research suggests that slang bans in schools may be more harmful than good.,['BBC News - Family & Education'],Should schools be allowed to ban slang words like 'peng'?,Research suggests that slang bans in schools may be more harmful than good.,https://www.bbc.co.uk/news/education-51064279,"(2020, 1, 20)","(0, 57, 17)","Mon, 20 Jan 2020 00:57:17 GMT",7e88be7863a61afc5afa24dd5424ef06,4
166,How Northern Ireland's finance minister could raise money?. Conor Murphy may have to raise an extra £1bn to meet the public services bill.,['BBC News - UK Politics'],How Northern Ireland's finance minister could raise money?,Conor Murphy may have to raise an extra £1bn to meet the public services bill.,https://www.bbc.co.uk/news/uk-northern-ireland-51180631,"(2020, 1, 21)","(12, 1, 16)","Tue, 21 Jan 2020 12:01:16 GMT",a5f57c8225546cb7e324c7919efc5601,1
171,"Davos summit: Protesters hike up to Davos. Several hundred protesters are making a three-day hike up to Davos, to coincide with President Trump's arrival at the World Economic Forum.",['BBC News - Business'],Davos summit: Protesters hike up to Davos,"Several hundred protesters are making a three-day hike up to Davos, to coincide with President Trump's arrival at the World Economic Forum.",https://www.bbc.co.uk/news/business-51184330,"(2020, 1, 21)","(0, 20, 6)","Tue, 21 Jan 2020 00:20:06 GMT",a7fa584e60ee13b357380146b06af4bf,3
43,Boris Johnson urged to let Greggs workers keep bonus. The PM rejects claims by Jeremy Corbyn the government is not helping low paid workers on universal credit.,"['BBC News - Home', 'BBC News - UK', 'BBC News - Business', 'BBC News - UK Politics']",Boris Johnson urged to let Greggs workers keep bonus,The PM rejects claims by Jeremy Corbyn the government is not helping low paid workers on universal credit.,https://www.bbc.co.uk/news/uk-politics-51208542,"(2020, 1, 22)","(13, 55, 9)","Wed, 22 Jan 2020 13:55:09 GMT",2bb30796c65e4e9174d80040bb00394b,1
78,Trump impeachment: Senate adopts rules after long debate on trial's first day. Republican senators voted down Democratic attempts to obtain documents and call new witnesses.,['BBC News - World'],Trump impeachment: Senate adopts rules after long debate on trial's first day,Republican senators voted down Democratic attempts to obtain documents and call new witnesses.,https://www.bbc.co.uk/news/world-us-canada-51194446,"(2020, 1, 22)","(12, 39, 21)","Wed, 22 Jan 2020 12:39:21 GMT",510f2b68995c6dc37b39cd3b329c04f7,9
94,"Coronavirus: Chinese officials advise against travel to Wuhan. China says it is now at the ""most critical stage"" of prevention and control of the new virus.",['BBC News - World'],Coronavirus: Chinese officials advise against travel to Wuhan,"China says it is now at the ""most critical stage"" of prevention and control of the new virus.",https://www.bbc.co.uk/news/world-asia-china-51202000,"(2020, 1, 22)","(13, 13, 23)","Wed, 22 Jan 2020 13:13:23 GMT",6237e943a5f392c37894803ba31eb388,6
